what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1489879923841
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1489879923841
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1489879923842
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1489879923843
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1489879923844
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1489879923844
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1489879923845
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1489879923846
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1489879923846
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1489879923848
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1489879923848
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1489879923849
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1489879923850
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1489879923850
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1489879923851
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1489879923851
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1489879923852
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1489879923853
os,sysinfo,,,"win32",1489879923856
arch,sysinfo,,,"x86",1489879923856
ws,sysinfo,,,"win32",1489879923856
locale,sysinfo,,,"fr_FR",1489879923856
processors,sysinfo,,,"2",1489879923856
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489879923856
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1489879923856
java.specification.name,sysinfo,,,"Java Platform API Specification",1489879923856
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489879923856
java.specification.version,sysinfo,,,"1.6",1489879923856
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1489879923856
java.version,sysinfo,,,"1.6.0_23",1489879923856
java.vm.info,sysinfo,,,"mixed mode",1489879923856
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1489879923856
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489879923856
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489879923856
java.vm.specification.version,sysinfo,,,"1.0",1489879923856
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1489879923856
java.vm.version,sysinfo,,,"19.0-b09",1489879923856
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1489879923917
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1489879923960
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489879925250
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1489879927099
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1489879928086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489879928228
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1489879929812
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1489879929813
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1489879929819
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1489879930809
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1489879931347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489879997720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489880005244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489880011090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489880013170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489880039862
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489880040412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489880049236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489880050286
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489880050453
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1489880050456
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1489880050743
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1489880051210
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1489880051210
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1489880051210
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1489880051210
